ligand,best_score,mean_score,std_score,n_receptors,n_good,consensus,score_5AP7
phase2b_seed_0_44631912,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_59455638,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_45488032,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_3_25166913,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_124154795,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_71288719,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_51002052,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_2_66555680,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_25263292,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_25262616,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_0_10096344,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_71288502,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_998879,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_0_15984937,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_71262754,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_2_11539025,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_2_25209788,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_58063084,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_56941864,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_166629432,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_0_46926973,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_15980109,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_4_57377630,-8.0,-8.0,0.0,1,1,False,-8.0
phase2b_seed_2_10163627,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_2_16219401,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_0_11493841,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_46927949,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_3_57404063,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_10180587,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_118034890,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_1_11315474,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_72195318,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_0_11667893,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_1_54739,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_72194526,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_2_454732,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_0_68254185,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_57377629,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_1_67454400,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_25262783,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_2_10273657,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_69936421,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_57861407,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_25262617,-7.9,-7.9,0.0,1,1,False,-7.9
phase2b_seed_4_53482278,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_4_72194525,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_4_135908617,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_2_454727,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_1_56935577,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_0_132519,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_2_462952,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_2_462972,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_0_71226662,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_0_59634741,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_0_153948,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_1_11961293,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_0_118873253,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_0_11689883,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_1_135566764,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_1_155586901,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_0_10341154,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_1_54746,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_0_10296883,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_2_75593308,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_2_454726,-7.8,-7.8,0.0,1,1,False,-7.8
phase2b_seed_4_54582836,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_2_1282,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_0_5625,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_0_91885568,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_0_5164,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_4_25218469,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_2_11221549,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_1_99652,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_1_21608802,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_4_54582835,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_4_165415136,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_0_3185,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_0_3478,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_4_118435363,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_0_16095400,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_4_71288554,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_0_11538455,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_4_71505323,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_4_71288717,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_0_44206133,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_4_135567108,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_2_5329105,-7.7,-7.7,0.0,1,1,False,-7.7
phase2b_seed_4_57964129,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_45488066,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_0_11338033,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_0_121293929,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_71288645,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_71288591,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_71288555,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_71262654,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_0_5284566,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_0_3510,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_0_9865384,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_10361685,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_51035417,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_0_10090485,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_165415380,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_1_6918837,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_1_9839190,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_2_454729,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_2_462973,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_24741312,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_2_9995195,-7.6,-7.6,0.0,1,1,False,-7.6
phase2b_seed_4_73356676,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_4_162346700,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_4_21911645,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_2_438569,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_0_2099,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_4_6416725,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_0_107805,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_0_4261,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_0_4487,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_3_2040,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_0_5329102,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_2_51033482,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_2_453217,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_4_165414915,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_4_24768480,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_1_16662431,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_4_117740035,-7.5,-7.5,0.0,1,1,False,-7.5
phase2b_seed_4_124201738,-7.4,-7.4,0.0,1,1,False,-7.4
phase2b_seed_2_453391,-7.4,-7.4,0.0,1,1,False,-7.4
phase2b_seed_1_4030,-7.4,-7.4,0.0,1,1,False,-7.4
